asv_code	file_code	n_reads
asv_0D4_00500	CTD-18S-216	15
asv_0D4_00509	CTD-18S-216	32
asv_0D4_00520	CTD-18S-216	29
asv_0D4_00522	CTD-18S-216	32
asv_0D4_00526	CTD-18S-216	14
asv_0D4_00530	CTD-18S-216	43
asv_0D4_00547	CTD-18S-216	15
asv_0D4_00560	CTD-18S-216	8
asv_0D4_00570	CTD-18S-216	54
asv_0D4_00574	CTD-18S-216	38
asv_0D4_00594	CTD-18S-216	22
asv_0D4_00605	CTD-18S-216	40
asv_0D4_00610	CTD-18S-216	49
asv_0D4_00630	CTD-18S-216	27
asv_0D4_00633	CTD-18S-216	42
asv_0D4_00638	CTD-18S-216	12
asv_0D4_00641	CTD-18S-216	48
asv_0D4_00644	CTD-18S-216	35
asv_0D4_00648	CTD-18S-216	109
asv_0D4_00672	CTD-18S-216	44
asv_0D4_00673	CTD-18S-216	46
asv_0D4_00683	CTD-18S-216	38
asv_0D4_00693	CTD-18S-216	34
asv_0D4_00724	CTD-18S-216	11
asv_0D4_00728	CTD-18S-216	59
asv_0D4_00731	CTD-18S-216	49
asv_0D4_00737	CTD-18S-216	38
asv_0D4_00756	CTD-18S-216	18
asv_0D4_00766	CTD-18S-216	14
asv_0D4_00775	CTD-18S-216	35
asv_0D4_00782	CTD-18S-216	9
asv_0D4_00783	CTD-18S-216	40
asv_0D4_00786	CTD-18S-216	24
asv_0D4_00789	CTD-18S-216	61
asv_0D4_00791	CTD-18S-216	74
asv_0D4_00801	CTD-18S-216	16
asv_0D4_00806	CTD-18S-216	22
asv_0D4_00841	CTD-18S-216	20
asv_0D4_00843	CTD-18S-216	10
asv_0D4_00857	CTD-18S-216	9
asv_0D4_00872	CTD-18S-216	41
asv_0D4_00921	CTD-18S-216	10
asv_0D4_00922	CTD-18S-216	8
asv_0D4_00946	CTD-18S-216	14
asv_0D4_00989	CTD-18S-216	29
asv_0D4_00990	CTD-18S-216	47
asv_0D4_00992	CTD-18S-216	3
asv_0D4_01059	CTD-18S-216	29
asv_0D4_01062	CTD-18S-216	40
asv_0D4_01079	CTD-18S-216	22
asv_0D4_01080	CTD-18S-216	31
asv_0D4_01081	CTD-18S-216	18
asv_0D4_01098	CTD-18S-216	19
asv_0D4_01100	CTD-18S-216	26
asv_0D4_01101	CTD-18S-216	10
asv_0D4_01105	CTD-18S-216	38
asv_0D4_01106	CTD-18S-216	13
asv_0D4_01116	CTD-18S-216	12
asv_0D4_01121	CTD-18S-216	30
asv_0D4_01126	CTD-18S-216	24
asv_0D4_01141	CTD-18S-216	14
asv_0D4_01146	CTD-18S-216	34
asv_0D4_01151	CTD-18S-216	12
asv_0D4_01199	CTD-18S-216	22
asv_0D4_01213	CTD-18S-216	19
asv_0D4_01263	CTD-18S-216	10
